BINOMIAL,ID,Year,Lat,Long,Frequency,Duration,n,N_area,Model,tau_p,tau_p_min,tau_p_max,tau_p_var,tau_v,tau_v_min,tau_v_max,tau_v_var,speed,speed_min,speed_max,diffusion,diffusion_min,diffusion_max,kde.min,kde.ml,kde.max,akde.min,akde.ml,akde.max,same.model,CV_N_area,kde.95CV.min,kde.95CV.ml,kde.95CV.max,akde.95CV.min,akde.95CV.ml,akde.95CV.max,full.n
Anas platyrhynchos,90A87299,2010,56.2210837,16.44231415,15.00005,9.616412025,906,48.98415623,OU anisotropic,15682.59266,11486.13343,21412.22841,5334140.113,NA,NA,NA,NA,NA,NA,NA,108.9137787,99.8192634,118.3991176,3509559.672,3749924.58,3998138.04,4262267.852,5761637.878,7483491.413,1.14E-09,20.37876792,97.14,97.36,97.36,97.8,99.78,100,453
Anas platyrhynchos,90A87326,2010,56.2798918,16.48874905,15,33.9911574,3250,17.29193857,OUF anisotropic,149078.7059,86857.09852,255873.854,1306671212,64.0911996,33.29800225,123.3612105,337.4682532,1.982507813,1.470835184,2.493212754,246.7044735,232.2874259,261.5494451,76270787.6,78962859.66,81700969.43,111859221.6,191025053.4,291028565.1,0.218182143,12.14712332,16.11,17.16,16.17,17.47,21.59,44.9,1625
Anas platyrhynchos,90A87373,2010,56.2662571,16.4808457,15.00003333,26.6799537,2547,21.49944629,OUF anisotropic,95278.11223,58988.04018,153894.224,432025986.7,92.66427464,58.86108197,145.8802235,370.34339,1.29957003,1.065637933,1.533052448,154.135599,144.3822466,164.2032113,25198661.39,26206844.03,27234524.85,47852845.35,76821267.42,112535358.9,0.329282089,9.505449772,81.08,90.19,84.93,2.51,95.05,99.69,1274
Anas platyrhynchos,90A87383,2010,56.2211301,16.44241085,15.00001667,33.68925928,3210,161.8552637,OU anisotropic,16859.98572,14294.43824,19885.99439,1857711.808,NA,NA,NA,NA,NA,NA,NA,79.63215692,75.7693866,83.58961025,1605095.163,1662110.335,1720106.646,1563990.601,1835940.147,2129367.424,0.067571019,61.42526335,99.38,99.38,99.38,99.5,99.56,99.63,1605
Anas platyrhynchos,90A87400,2010,56.2211561,16.4424606,15,33.32413194,3183,24.02781034,OU anisotropic,111314.3029,71195.68976,174039.6656,519963161.2,NA,NA,NA,NA,NA,NA,NA,68.04908541,65.28745041,70.8671243,10712450.4,11094625.22,11483404.74,21840256.54,34077343.02,48992861.33,0.058320639,4.155240541,100,99.94,100,97.49,100,100,1592
Anas platyrhynchos,90A87411,2010,56.2211196,16.4424766,15.00003333,12.2929977,1169,61.00227337,OU anisotropic,15683.61276,11889.23274,20688.94727,4289470.347,NA,NA,NA,NA,NA,NA,NA,84.82568517,78.51585127,91.37591093,3282093.879,3478761.974,3681071.706,3653488.455,4776271.15,6047195.731,0.009028737,34.38078362,73.89,77.47,74.4,91.47,95.56,95.56,584
Anas platyrhynchos,90A87434_crop_1,2010,56.22090105,16.4426921,15.00005,33.98065972,3232,51.07634791,OUF anisotropic,54756.97981,40491.18897,74048.87124,61361174.61,42.98860148,13.05992738,141.503073,404.1383103,2.450275322,1.398227529,3.504767374,244.2028488,230.1297585,258.6876921,46905109.29,48565410.4,50254184.33,40661568.43,54598183.44,70556850.74,0,6.224008589,83.24,81.76,84.29,79.59,94.99,100,1616
Anas platyrhynchos,90A87436,2010,56.22104975,16.43592695,15.00001667,17.2728588,1642,14.34052551,OUF anisotropic,77328.67946,42081.99508,142096.986,432792831.7,164.8529974,122.4550804,221.9304471,540.8182197,0.669465588,0.596292864,0.742537338,72.69340875,66.6159746,79.03234399,15295314.08,16063188.64,16849605.1,15587198.85,28275430.86,44679496.11,0.014865846,18.7308921,77.49,77.62,77.74,84.55,84.79,85.28,821
Anas platyrhynchos,90A87501_crop_1,2010,56.2211049,16.4423565,15.00001667,16.93665508,1598,185.9597121,OU anisotropic,6959.587239,5926.430619,8172.854396,300626.0174,NA,NA,NA,NA,NA,NA,NA,0.445486242,0.422022306,0.469576015,12514.63426,13151.83198,13804.62924,12543.10196,14560.7571,16726.68006,0.431021686,75.30347531,99.12,99.12,99.12,99.38,99.5,99.62,799
Anas platyrhynchos,90A87502_crop_1,2010,56.2211053,16.4424801,15.00003333,36.07476852,3395,638.8864836,OU anisotropic,4616.317293,4229.544342,5038.458904,40652.87493,NA,NA,NA,NA,NA,NA,NA,0.316509263,0.304364295,0.3288885,20255.29531,20954.39409,21665.18797,17399.11173,18831.20369,20319.1241,0.001818663,381.7914447,94.58,94.82,94.94,94.29,95.05,95.17,1698
Anas platyrhynchos,90A87504,2010,56.2211465,16.44246925,15,35.9264583,3416,527.8268178,OU anisotropic,5578.214183,5073.103453,6133.616977,69587.00953,NA,NA,NA,NA,NA,NA,NA,0.299922631,0.289024113,0.311020027,35041.37112,36246.98185,37472.69842,32910.54755,35909.02694,39036.36187,0.320325904,217.1020707,99.94,98.36,100,98.6,98.6,98.83,1708
Anas platyrhynchos,90A87505,2010,56.2211369,16.4424047,15.00001667,35.98071759,3441,625.2055311,OU anisotropic,4562.966559,4174.726666,4987.311861,40990.34543,NA,NA,NA,NA,NA,NA,NA,0.3294388,0.317278668,0.341824401,23185.06121,23979.77312,24787.6897,21937.20592,23763.68007,25662.14734,0.408841502,236.1473128,99.19,99.07,99.3,99.3,99.42,99.42,1720
Anas platyrhynchos,90A87506,2010,56.2211194,16.4423832,15,36.0829861,3447,432.888021,OU anisotropic,6829.169128,6157.925262,7573.581847,123404.6222,NA,NA,NA,NA,NA,NA,NA,0.21410897,0.206431696,0.221924452,6006.667493,6212.373491,6421.494431,6231.004467,6862.304455,7523.628703,0.446666103,168.519375,99.83,99.42,99.83,99.54,99.65,99.65,1724
